Datum,Menge
02.01.2020,891
03.01.2020,812
06.01.2020,797
07.01.2020,803
08.01.2020,796
09.01.2020,803
10.01.2020,800
13.01.2020,819
14.01.2020,834
15.01.2020,848
16.01.2020,835
17.01.2020,816
20.01.2020,797
21.01.2020,804
22.01.2020,805
23.01.2020,791
24.01.2020,785
27.01.2020,781
28.01.2020,797
29.01.2020,810
30.01.2020,800
31.01.2020,786
03.02.2020,771
04.02.2020,760
05.02.2020,769
06.02.2020,756
07.02.2020,755
10.02.2020,756
11.02.2020,746
12.02.2020,746
13.02.2020,754
14.02.2020,745
17.02.2020,733
18.02.2020,746
19.02.2020,731
20.02.2020,717
21.02.2020,735
24.02.2020,720
25.02.2020,723
26.02.2020,712
27.02.2020,718
28.02.2020,712
02.03.2020,709
03.03.2020,691
04.03.2020,702
05.03.2020,698
06.03.2020,684
09.03.2020,689
10.03.2020,670
11.03.2020,651
12.03.2020,665
13.03.2020,671
16.03.2020,661
17.03.2020,651
18.03.2020,666
19.03.2020,674
20.03.2020,680
23.03.2020,667
24.03.2020,667
25.03.2020,661
26.03.2020,680
27.03.2020,672
30.03.2020,693
31.03.2020,705
01.04.2020,725
02.04.2020,737
03.04.2020,738
06.04.2020,758
07.04.2020,770
08.04.2020,771
09.04.2020,777
14.04.2020,824
15.04.2020,721
16.04.2020,708
17.04.2020,728
20.04.2020,762
21.04.2020,774
22.04.2020,758
23.04.2020,762
24.04.2020,765
27.04.2020,774
28.04.2020,795
29.04.2020,795
30.04.2020,812
04.05.2020,818
05.05.2020,803
06.05.2020,784
07.05.2020,773
08.05.2020,761
11.05.2020,747
12.05.2020,744
13.05.2020,757
14.05.2020,739
15.05.2020,738
18.05.2020,751
19.05.2020,770
20.05.2020,769
22.05.2020,685
25.05.2020,760
26.05.2020,771
27.05.2020,753
28.05.2020,738
29.05.2020,735
02.06.2020,820
03.06.2020,741
04.06.2020,737
05.06.2020,748
08.06.2020,734
09.06.2020,738
10.06.2020,719
