irn,year,falladm,pctmin,Avgtchpy,Tadmprtc,Ptaxrate,Agy,Percapy,Pctag,Pctres,Persex,Agehet,racehet,inchet,localxpa,math,agvalpera,resvalpera,cl2valpera_ch1,salestax,disadv,dum90,dum91,dum92,dum93,dum94,dum95,dum96,dum97,dum98,dum99,dum00,dum01,dum02,dum03,dum04,dum05,dum06,dum07,dum08,dum09,dum10,countynum
43901,1995,7.277,99.99,59.59968,20.38,45.72149829,2.595917557,16184.02467,0,73.09310997,16.04,0.635473265,0.038996834,0.98026511,1.131386985,6.4,0,24.74518612,0.078279,1,0.341847003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
44677,1995,6.896,43.24,58.653,15,27.14129695,10.57749127,29909.49036,0.043895314,41.61066482,35.365,0.600539786,0.114011357,0.895516225,2.284397309,8.3,0.088788057,84.07805605,3.586316782,0.5,0.102041746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
43901,1996,7.178,99.99,56.912097,18.94,45.75099475,2.552970568,16079.67858,0,72.81882742,15.877,0.633696125,0.039961835,0.953585539,1.126081867,8.9,0,24.61327612,-0.385454698,1,0.359013093,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
48686,1990,1.126,79.04,42.718858,15.42,37.40979151,0.872197347,19895.01248,10.21768472,90.29108954,4.384,0.586100399,0.156954466,1.037278161,.,9,6.253946714,31.68105684,0.417973668,1,0.207983193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
43901,1997,7.012,100,55.073682,18.4,42.715398,2.559592398,15937.68616,0,75.09740745,16.06,0.631918985,0.040926836,0.926905967,1.133821966,10,0,26.54363577,0.633285123,1,0.376179183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43901,1990,7.797,99.91,55.21243,17.62,47.82829615,2.767964629,15637.33478,0,68.22216323,17.701,0.644358964,0.034171829,1.113662967,0.982737454,11,0,13.28196358,0.782018576,1,0.256016552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43901,2004,4.633,100,63.359253,22.4,35.13829732,2.697229697,15628.86602,0.002042655,75.12194185,17.258,0.619479007,0.047681843,0.740148968,1.564118095,11,0.001210367,44.51199073,2.209614394,1,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
43901,1991,7.586,99.95,56.44571,17.46,41.2657979,2.622340961,15013.11594,0,69.78759051,17.467,0.642581824,0.03513683,1.086983396,.,13,0,23.91412004,-0.177153707,1,0.273182643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
43786,1991,70.019,78.91,51.530022,17.2,25.36879985,50.55653749,16241.96841,0.000826841,46.98565318,311.271,0.653333298,0.261925331,1.080945928,0.909274548,14,0.000630742,35.8416067,-2.938184674,1,0.294855593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
49650,1990,1.755,0.51,42.441945,17.82,22.08388943,0.834663507,14934.0402,10.74698554,94.87399022,5.589,0.635030691,0.008969668,1.334607407,0.541859889,14,2.779399259,14.06401709,-0.060715734,1,0.311539371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
48686,2004,0.719,82.5,46.023201,15.6,37.70028417,1.140597677,23159.3437,9.568252485,91.52642768,4.925,0.517151313,0.247661042,0.615348298,3.76543949,14.5,10.44136227,89.43691644,0.731535412,1,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
43786,1990,70.694,75.52,53.317355,17.52,29.70959939,52.86415518,16830.41181,0.00100035,46.41156179,314.099,0.656735777,0.273430705,1.115136074,0.912138042,15,0.000661743,19.84559383,4.991744065,1,0.285892782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
